source,relationship_type,target,weight
section_4_full,HAS_CHILD,section_4_subsection_1,1.0
section_4_full,HAS_CHILD,section_4_subsection_2,1.0
section_4_full,HAS_CHILD,section_4_subsection_3,1.0
section_4_full,HAS_CHILD,section_4_subsection_4,1.0
section_4_full,HAS_CHILD,section_4_subsection_5,1.0
section_4_full,HAS_CHILD,section_4_subsection_6,1.0
section_4_full,HAS_CHILD,section_4_subsection_7,1.0
section_4_full,HAS_CHILD,section_4_subsection_8,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_b,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_b,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_c,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_b,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_c,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_b,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_b,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_c,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_d,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_e,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_f,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_g,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_b,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_c,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_a,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_b,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_c,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_a,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_i,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_ii,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_a,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_b,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_c,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_d,1.0
section_4_subsection_8,HAS_CHILD,section_4_subsection_8_clause_b,1.0
